timestamp,actual_x,actual_y,actual_z,actual_qx,actual_qy,actual_qz,actual_qw,desired_x,desired_y,desired_z,desired_qx,desired_qy,desired_qz,desired_qw,ee_x,ee_y,ee_z,ee_roll,ee_pitch,ee_yaw,ee_vx,ee_vy,ee_vz,ee_wx,ee_wy,ee_wz,jv1,jv2,jv3,jv4,tau1,tau2,tau3,tau4,Ktx,Kty,Ktz,Krx,Kry,Krz,Dtx,Dty,Dtz,Drx,Dry,Drz,manip_condition_number,manip_det,manip_yoshikawa,manip_sigma_min,manip_sigma_max,eig0,eig1,eig2,eig3,eig4,eig5,contact_frame_id,contact_fx,contact_fy,contact_fz,contact_tx,contact_ty,contact_tz,contact_valid,waypoint_active
2.7,0.2863965795460619,4.329640105652404e-05,0.197417664688599,4.3071047358969263e-07,-0.005459367456846954,7.889266604769833e-05,0.9999850944302783,0.28628252545914,3.03421364417794e-05,0.19786104898241583,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2863965795460619,4.329640105652404e-05,0.197417664688599,0.0,-0.010918789186659335,0.00015778768368335252,-0.0003453283137432346,8.489919651816726e-05,0.0005511809361364985,3.604404569422461e-07,-0.0022843383307044824,0.0003096018292167033,0.0003096018292167033,-0.002778480739885498,0.0012040609466820137,-0.0007099185659375307,-0.00013935108698165068,-0.4388479549460591,-0.35675419441279366,-0.06338007078910796,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-4.985024310358559e-52,0.0,0.0,1.7736971589085235,-1.4778022080152182e-16,1.891642169964728e-16,0.004654355370397582,0.01753927440584927,1.0752934847411575,3.1460016115201683,world,-0.0008908948156448375,9.16504514733247e-06,0.0061971028081810875,0.0,0.0,0.0,1,0
2.8,0.2863947986417087,4.341510765873143e-05,0.1973174828544628,4.153548821622784e-07,-0.005250302307894248,7.910956963941743e-05,0.9999862139385617,0.28634569208585064,6.775347702950627e-05,0.19777138565334923,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2863947986417087,4.341510765873143e-05,0.1973174828544628,0.0,-0.010500652891954221,0.00015822132019760463,0.0003203719523425134,0.00013732176585886605,-0.0018013860599843607,-1.0697961523951448e-06,0.006761390577021956,0.0005002684942581175,0.0005002684942581175,0.0029004465390748096,0.004195600941581739,-0.00033465681900231217,0.00020770347589965177,-0.43885550536455226,-0.35697661137407594,-0.06348966880351453,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-1.1889047918467683e-43,0.0,4.976810845359167e-09,1.7736911017264483,2.4768646190484627e-17,4.788466201539435e-16,0.00465629786451623,0.017533710916640327,1.0752925074064958,3.145980124343582,world,-0.0008368833318391499,4.909791957599153e-05,0.0070114802092523,0.0,0.0,0.0,1,0
2.9,0.28643989475106174,6.435205976247517e-05,0.19715032178317182,5.827462243221974e-07,-0.004970433433155501,0.0001172410876588445,0.999987640446458,0.28643471889889316,0.00012048088385197114,0.197645014484755,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.28643989475106174,6.435205976247517e-05,0.19715032178317182,0.0,-0.009940907866954346,0.0002344850723741132,0.0004993984734543616,0.0007014855724301908,-0.0015141620817028928,-1.1078492503504314e-06,0.004724604508207289,0.0025556358451949267,0.0025556358451949267,0.004295574795746408,0.002273282472918286,-0.0018442526305703488,0.0003701276622878459,-0.4393281492919936,-0.3573211723402308,-0.06367043550310521,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,0.0,0.0,0.0,1.7736874630569648,-3.340646628908873e-16,6.310257747636453e-17,0.00465791266456011,0.017529043908310418,1.0753172599721623,3.1459672166054515,world,-0.0006081653815855035,0.0002625235746334296,0.008101367616282438,0.0,0.0,0.0,1,0
3.0,0.28649278096730235,0.00013376367340046575,0.19699105924703902,1.1485335453021321e-06,-0.004713748921309339,0.00024365335753583105,0.9999888605393707,0.28654946862537467,0.0001884430550696106,0.19748213033181541,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.28649278096730235,0.00013376367340046575,0.19699105924703902,0.0,-0.009427533035087697,0.00048731213382247063,0.0005832641143645811,0.0007904452036325745,-0.0017672743990083603,-2.8741433051098487e-06,0.005897950980728742,0.002878621366665644,0.002878621366665644,0.004996798606204353,0.0022808165772602402,-0.0013796635024333846,0.0002668006310079166,-0.43919780124203134,-0.3571422425564612,-0.06358434780756135,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-1.2083653560164983e-64,0.0,0.0,1.7736853331072706,-3.7115595785840666e-16,-1.3234061262335577e-16,0.004659067146514743,0.017525693102094935,1.0753463046958838,3.1459596608798495,world,-0.00023703523210954865,0.0004194227946913631,0.00895836640057077,0.0,0.0,0.0,1,0
3.1,0.28656024819601544,0.00020725770283375368,0.19679196251402997,1.6517172872353156e-06,-0.0043761555468047435,0.0003774320487562555,0.9999903533559464,0.2866897643295341,0.00027153519794040386,0.1972829843500883,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.28656024819601544,0.00020725770283375368,0.19679196251402997,0.0,-0.00875233965280842,0.0007548713436422715,0.0007686258652907483,0.0007666404593292199,-0.0021866938453503895,-5.624323430259977e-06,0.007450703234829811,0.002790133728710118,0.002790133728710118,0.006546196349515909,0.002226419880401169,-0.001321910872266874,0.0003175366859498404,-0.43927614176980545,-0.35711261507034886,-0.06357546222505439,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,4.525638716660458e-50,2.1273548638298356e-25,6.60721931886876e-09,1.773682820822329,4.3655347127632566e-17,7.254464741589712e-16,0.004660270011483901,0.017522210610657604,1.0753833728452145,3.1459507488802543,world,0.00030327389774571626,0.000532652948562985,0.009583827806044666,0.0,0.0,0.0,1,0
3.2,0.2866462355158168,0.00029000422043691184,0.19655677043149367,2.0988590535714257e-06,-0.003975417307733441,0.0005279551839192701,0.9999919586257422,0.28685538968556457,0.0003696291904026835,0.19704788360824305,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2866462355158168,0.00029000422043691184,0.19655677043149367,0.0,-0.007950856666159458,0.0010559187607679377,0.0009480710869370923,0.000926163705677105,-0.0025115602267514344,-9.045957051845081e-06,0.008566903085700016,0.0033685573224669215,0.0033685573224669215,0.00804040525516105,0.0019157129819179098,-0.0013892103754806207,0.0003995625432908809,-0.4394442362487926,-0.35710149286949133,-0.06357793459880343,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,0.0,0.0,0.0,1.7736806973326684,-1.603398809471231e-16,-7.954055031375676e-17,0.004661356767398423,0.017519059857820322,1.0754306387854584,3.145943216090501,world,0.000989430134146249,0.0006806678021979395,0.010087560347296931,0.0,0.0,0.0,1,0
3.3,0.28675004685139516,0.00039036690865659664,0.19628843820930084,2.498226199563211e-06,-0.0035166306188144894,0.0007103987858027545,0.9999935642974983,0.28704608931117176,0.0004825737786300667,0.19677719061458318,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.28675004685139516,0.00039036690865659664,0.19628843820930084,0.0,-0.007033277508829974,0.0014208064764806851,0.0011291455697379378,0.0010879611198515511,-0.002855607266204215,-1.3899534991270713e-05,0.009782842257830047,0.0039539743154399535,0.0039539743154399535,0.009558147826764236,0.0016266959622612005,-0.0014019916569190626,0.0004475692844208382,-0.43965457866562446,-0.3570738190990503,-0.06357367765269444,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-3.3190346353614275e-42,0.0,0.0,1.7736790559213875,-7.027759319622666e-17,5.980684966298122e-17,0.00466228904674773,0.017516351551791456,1.0754877406311671,3.1459373934141843,world,0.0018091086940287332,0.0008423511076111117,0.010479750410699982,0.0,0.0,0.0,1,0
3.4,0.2868724388489402,0.0005055245798684025,0.1959850734128126,2.755413796485199e-06,-0.002996443618694467,0.0009195568520966824,0.999995087854557,0.28726156916135526,0.0006101948102538938,0.1964713227580847,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2868724388489402,0.0005055245798684025,0.1959850734128126,0.0,-0.005992898739238593,0.0018391222198488322,0.001318980348535875,0.0012233883957177578,-0.0032071694162787313,-2.0233802003704896e-05,0.01100186761520628,0.004441909499132804,0.004441909499132804,0.01115653986940157,0.0012939653724449458,-0.0014486190204175634,0.0004969993664633924,-0.43994160994691617,-0.35705544524436866,-0.06357598911167744,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,-1.2288551801003326e-47,0.0,0.0,1.7736779051187448,-1.972523349818989e-16,1.9790752507359998e-16,0.004663063747690553,0.01751409462967925,1.075555113193865,3.1459333111064187,world,0.002753085264322831,0.0010064534932561478,0.010781318945909663,0.0,0.0,0.0,1,0
3.5,0.2870139959562139,0.0006345651113960172,0.19564688229896704,2.787923977033483e-06,-0.0024165184000455395,0.0011536903594280348,0.9999964147083751,0.28750149698180427,0.0007522955028935577,0.1961307516648126,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2870139959562139,0.0006345651113960172,0.19564688229896704,0.0,-0.004833044720326641,0.0023073879677992792,0.0015122177061351583,0.0013638541046682678,-0.003552684298185817,-2.8097601827327918e-05,0.01217721178890606,0.004946503097718056,0.004946503097718056,0.012791631014166525,0.0009074139162286287,-0.0015218007254405204,0.0005508189430130326,-0.4403049655963586,-0.3570421611195767,-0.06358283312381977,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,1.3289593506808125e-41,3.645489474241851e-21,0.0,1.773677356692705,-5.276843561406728e-16,-5.028542333661144e-17,0.004663652543418226,0.01751236954559779,1.075633100644684,3.1459313656444214,world,0.0038104666602684152,0.0011766130001290356,0.011014516953729219,0.0,0.0,0.0,1,0
3.6,0.2871749791826889,0.0007779271626979643,0.19527432970186756,2.514034745429654e-06,-0.0017785748438602252,0.0014135071493950923,0.9999974193280415,0.28776550282121005,0.0009086567475806732,0.19575600247070757,1.8340682012452516e-08,-0.0061452776472822246,2.9844600600664086e-06,0.9999811175985925,0.2871749791826889,0.0007779271626979643,0.19527432970186756,0.0,-0.003557155116747698,0.0028270197115993767,0.0017077591807473473,0.001506116526351687,-0.0038946826045276575,-3.766632057687506e-05,0.013323649664942087,0.005455716398180195,0.005455716398180195,0.014456163806904022,0.00048025667294976024,-0.001612717573160869,0.0006024640394927363,-0.4407446201014342,-0.357031925714771,-0.06359322516665897,15.0,15.0,25.0,15.0,15.0,15.0,2.0,2.0,3.0,0.8,0.8,0.8,inf,5.949891163258152e-42,2.43923987407105e-21,0.0,1.7736774963491753,-2.4779265203545016e-16,6.593944263557498e-16,0.00466403194509813,0.017511243219103,1.0757218743388635,3.1459318610554785,world,0.004971088172440685,0.0013520705961334123,0.011194321856115002,0.0,0.0,0.0,1,0
