stamp_sec,stamp_nsec,valid,fx,fy,fz,magnitude
286,529000000,1,0.05053127076066859,0.2874420209446634,0.006140253793889587,0.2919144180168114
286,549000000,1,0.051479049333715374,0.28834748460084564,0.005860001183948211,0.29296536315717236
286,569000000,1,0.052431925682662944,0.28925930598094496,0.005576785565443925,0.29402577006890596
286,589000000,1,0.053390115057381185,0.29017828416474145,0.005290663390514535,0.2950964793177743
286,609000000,1,0.05435352923611289,0.29110437138447126,0.00500167944622586,0.2961774433964409
286,629000000,1,0.05532192695257525,0.2920373393261559,0.004709871969852375,0.2972684074307574
286,649000000,1,0.05629506469008987,0.29297694894781856,0.004415281834715672,0.29836910301992403
286,669000000,1,0.05727269968848534,0.2939228076105292,0.004117954146194702,0.299479108636335
286,689000000,1,0.05825459021245232,0.2948746554186885,0.003817938725517832,0.3005981309742674
286,709000000,1,0.05924049597847678,0.29583231986368086,0.0035152904137166385,0.30172596027918425
286,729000000,1,0.060230307854490774,0.2967958136416083,0.003210070364204199,0.30286259183196285
286,749000000,1,0.061224167394657546,0.29776579348090404,0.002902344651954242,0.30400870060733487
286,769000000,1,0.062221817280892044,0.2987420004480366,0.002592170129727546,0.3051639833325894
286,789000000,1,0.06322299713709952,0.29972419265575573,0.002279604388524633,0.30632815023485915
286,809000000,1,0.06422744695584753,0.3007120653925169,0.0019647082269227513,0.30750084763056584
286,829000000,1,0.06523490830428252,0.30170536284159166,0.0016475466483664677,0.3086817675840333
286,849000000,1,0.06624512490803985,0.30270388263837783,0.0013281891738617332,0.30987065240985984
286,869000000,1,0.06725784320584632,0.30370736949181004,0.0010067096204752902,0.31106719084563866
286,889000000,1,0.06827319033069615,0.3047164856368681,0.0006831852053164793,0.3122720478666636
286,909000000,1,0.06929102657177813,0.30573125260175105,0.0003576916941510353,0.3134852039955867
286,929000000,1,0.07031107940043131,0.3067514072542993,3.0302141598024222e-05,0.31470633081837823
286,949000000,1,0.07133307565153793,0.3077767351462385,-0.00029890848203798263,0.3159351448089726
286,969000000,1,0.07235674407600315,0.30880699473647905,-0.0006298616543465253,0.3171713340407037
286,989000000,1,0.07338181637069606,0.3098419387308075,-0.0009624748259167803,0.3184145793272013
287,9000000,1,0.07440802736401085,0.3108813705039534,-0.001296661465034855,0.319664609229071
287,29000000,1,0.0754352245869974,0.31192532066503065,-0.0016323328906090386,0.32092139737190895
287,49000000,1,0.07646346880769009,0.3129742131337109,-0.0019694011906256506,0.3221853483475307
287,69000000,1,0.07749248268402809,0.3140277800904029,-0.002307777231986245,0.3234561135251478
287,89000000,1,0.07852198760549547,0.3150858542092258,-0.0026473717392244103,0.32473343935819227
287,109000000,1,0.07955170698787938,0.3161482329368038,-0.0029880928696635156,0.3260170363228687
287,129000000,1,0.08058136781273371,0.3172146625566445,-0.003329845476158697,0.3273065640197153
287,149000000,1,0.08161070072710906,0.31828497121557403,-0.003672531023324642,0.3286017602798041
287,169000000,1,0.08263944038035169,0.3193590060443801,-0.00401604766253662,0.3299023802382455
287,189000000,1,0.08366760207299702,0.32043722841680655,-0.004360293212194426,0.33120884219625896
287,209000000,1,0.08469500704147664,0.321519606118641,-0.004705164766311897,0.3325210367960499
287,229000000,1,0.0857213807875692,0.32260597033466365,-0.005050560749827083,0.3338386966539155
287,249000000,1,0.08674645044545005,0.32369616122722433,-0.005396378113669865,0.3351615615712396
287,269000000,1,0.0877699469545205,0.3247899457934015,-0.0057425113426117945,0.33648929984978726
287,289000000,1,0.08879160544398837,0.3258871419267774,-0.0060888522227468085,0.3378216283660875
